true_file_type,declared_extension,label,label_name,is_malicious,category,corruption_type
GZIP,.gz,1,corrupted,False,archive,byte_flip_pos_0
GIF,.gif,0,valid,False,image,none
EXE,.exe,1,corrupted,False,executable,byte_flip_pos_1
PPTX,.pptx,0,valid,False,document,none
ZIP,.docx,2,mismatch,False,archive,zip_repackaged_as_docx
PPTX,.pptx,0,valid,False,document,none
ELF,.elf,1,corrupted,False,executable,byte_flip_pos_0
WEBP,.webp,0,valid,False,image,none
CLASS,.class,1,corrupted,False,executable,byte_flip_pos_1
ELF,.elf,0,valid,False,executable,none
PNG,.png,1,corrupted,False,image,wrong_offset_4_instead_of_0
HTML,.html,1,corrupted,False,web,partial_overwrite_4_null
ZIP,.zip,0,valid,False,archive,none
ZIP,.docx,2,mismatch,False,archive,zip_repackaged_as_docx
RAR,.rar,0,valid,False,archive,none
UNKNOWN,.docx,2,mismatch,False,unknown,random_bytes_unknown
WEBP,.webp,0,valid,False,image,none
SQLITE,.sqlite,0,valid,False,database,none
GIF,.gif,0,valid,False,image,none
AVI,.avi,1,corrupted,False,video,wrong_offset_4_instead_of_0
7Z,.7z,0,valid,False,archive,none
PE,.exe,0,valid,False,executable,none
ZIP,.docx,2,mismatch,False,archive,zip_repackaged_as_docx
TIFF,.tiff,1,corrupted,False,image,byte_flip_pos_2
PE,.exe,0,valid,False,executable,none
ELF,.elf,0,valid,False,executable,none
XLSX,.xlsx,1,corrupted,False,document,partial_overwrite_4_null
XLSX,.xlsx,1,corrupted,False,document,wrong_offset_4_instead_of_0
BZIP2,.bz2,0,valid,False,archive,none
SQLITE,.sqlite,1,corrupted,False,database,partial_overwrite_4_null
MP3,.mp3,0,valid,False,audio,none
ELF,.mp3,2,mismatch,True,executable,elf_disguised_as_mp3
MP3_ID3,.mp3,0,valid,False,audio,none
HTML,.html,1,corrupted,False,web,wrong_offset_4_instead_of_0
RAR,.rar,0,valid,False,archive,none
PE,.exe,0,valid,False,executable,none
HTML,.html,0,valid,False,web,none
TIFF_BE,.tiff,0,valid,False,image,none
EXE,.exe,0,valid,False,executable,none
ELF,.mp3,2,mismatch,True,executable,elf_disguised_as_mp3
WEBP,.webp,1,corrupted,False,image,wrong_offset_4_instead_of_0
GZIP,.gz,0,valid,False,archive,none
TIFF,.tiff,1,corrupted,False,image,truncated_header_keep_1
HTML,.html,0,valid,False,web,none
7Z,.7z,1,corrupted,False,archive,wrong_offset_4_instead_of_0
EXE,.exe,0,valid,False,executable,none
ELF,.mp3,2,mismatch,True,executable,elf_disguised_as_mp3
UNKNOWN,.zip,2,mismatch,False,unknown,random_bytes_unknown
TAR,.tar,0,valid,False,archive,none
MP3,.mp3,1,corrupted,False,audio,partial_overwrite_4_null
FLAC,.flac,0,valid,False,audio,none
XML,.xml,1,corrupted,False,web,wrong_offset_4_instead_of_0
ELF,.elf,0,valid,False,executable,none
MP3,.mp3,1,corrupted,False,audio,truncated_header_keep_1
ZIP,.docx,2,mismatch,False,archive,zip_repackaged_as_docx
BZIP2,.bz2,0,valid,False,archive,none
HTML_TAG,.html,0,valid,False,web,none
RAR5,.rar,0,valid,False,archive,none
PNG,.png,1,corrupted,False,image,partial_overwrite_4_null
ZIP,.docx,2,mismatch,False,archive,zip_repackaged_as_docx
XLSX,.xlsx,0,valid,False,document,none
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
ZIP,.zip,0,valid,False,archive,none
MP3,.mp3,1,corrupted,False,audio,partial_overwrite_4_null
JPG,.jpg,0,valid,False,image,none
GIF,.gif,1,corrupted,False,image,partial_overwrite_4_null
SQLITE,.sqlite,0,valid,False,database,none
FLAC,.flac,0,valid,False,audio,none
7Z,.7z,0,valid,False,archive,none
BZIP2,.bz2,0,valid,False,archive,none
WEBP,.webp,1,corrupted,False,image,partial_overwrite_4_null
XML,.xml,1,corrupted,False,web,byte_flip_pos_2
MP4,.mp4,0,valid,False,video,none
GIF,.gif,1,corrupted,False,image,byte_flip_pos_2
OGG,.ogg,0,valid,False,audio,none
DOCX,.docx,0,valid,False,document,none
PNG,.exe,2,mismatch,False,image,png_mislabeled_as_exe
ZIP,.zip,1,corrupted,False,archive,truncated_header_keep_2
MP3,.mp3,1,corrupted,False,audio,partial_overwrite_4_null
WEBP,.webp,1,corrupted,False,image,partial_overwrite_4_null
EXE,.pdf,2,mismatch,True,executable,exe_disguised_as_pdf
FLAC,.flac,1,corrupted,False,audio,wrong_offset_4_instead_of_0
